,種類,位置 X,Y,Z,状態
草 02,2,-200,-40,200,0
草 02,2,-200,-40,0,0
草 02,2,-200,-40,-200,0
草 02,2,0,-40,200,0
草 02,2,0,-40,0,0
草 02,2,0,-40,-200,0
草 02,2,200,-40,200,0
草 02,2,200,-40,0,0
草 02,2,200,-40,-200,0
石 00,4,-320,-40,280,0
石 00,4,-320,-40,240,0
石 00,4,-320,-40,200,0
石 00,4,-320,-40,160,0
石 00,4,-320,-40,120,0
石 00,4,-320,-40,80,0
石 00,4,-320,-40,40,0
石 00,4,-320,-40,0,0
石 00,4,-320,-40,-40,0
石 00,4,-320,-40,-80,0
石 00,4,-320,-40,-120,0
石 00,4,-320,-40,-160,0
石 00,4,-320,-40,-200,0
石 00,4,-320,-40,-240,0
石 00,4,-320,-40,-280,0
石 00,4,-320,0,280,0
石 00,4,-320,0,240,0
石 00,4,-320,0,200,0
石 00,4,-320,0,160,0
石 00,4,-320,0,120,0
石 00,4,-320,0,80,0
石 00,4,-320,0,40,0
石 00,4,-320,0,0,0
石 00,4,-320,0,-40,0
石 00,4,-320,0,-80,0
石 00,4,-320,0,-120,0
石 00,4,-320,0,-160,0
石 00,4,-320,0,-200,0
石 00,4,-320,0,-240,0
石 00,4,-320,0,-280,0
石 00,4,320,-40,280,0
石 00,4,320,-40,240,0
石 00,4,320,-40,200,0
石 00,4,320,-40,160,0
石 00,4,320,-40,120,0
石 00,4,320,-40,80,0
石 00,4,320,-40,40,0
石 00,4,320,-40,0,0
石 00,4,320,-40,-40,0
石 00,4,320,-40,-80,0
石 00,4,320,-40,-120,0
石 00,4,320,-40,-160,0
石 00,4,320,-40,-200,0
石 00,4,320,-40,-240,0
石 00,4,320,-40,-280,0
石 00,4,320,0,280,0
石 00,4,320,0,240,0
石 00,4,320,0,200,0
石 00,4,320,0,160,0
石 00,4,320,0,120,0
石 00,4,320,0,80,0
石 00,4,320,0,40,0
石 00,4,320,0,0,0
石 00,4,320,0,-40,0
石 00,4,320,0,-80,0
石 00,4,320,0,-120,0
石 00,4,320,0,-160,0
石 00,4,320,0,-200,0
石 00,4,320,0,-240,0
石 00,4,320,0,-280,0
石 00,4,-320,-40,320,0
石 00,4,-320,0,320,0
石 00,4,-280,-40,320,0
石 00,4,-280,0,320,0
石 00,4,-240,-40,320,0
石 00,4,-240,0,320,0
石 00,4,-200,-40,320,0
石 00,4,-200,0,320,0
石 00,4,-160,-40,320,0
石 00,4,-160,0,320,0
石 00,4,-120,-40,320,0
石 00,4,-120,0,320,0
石 00,4,-80,-40,320,0
石 00,4,-80,0,320,0
石 00,4,-40,-40,320,0
石 00,4,-40,0,320,0
石 00,4,0,-40,320,0
石 00,4,0,0,320,0
石 00,4,40,-40,320,0
石 00,4,40,0,320,0
石 00,4,80,-40,320,0
石 00,4,80,0,320,0
石 00,4,120,-40,320,0
石 00,4,120,0,320,0
石 00,4,160,-40,320,0
石 00,4,160,0,320,0
石 00,4,200,-40,320,0
石 00,4,200,0,320,0
石 00,4,240,-40,320,0
石 00,4,240,0,320,0
石 00,4,280,-40,320,0
石 00,4,280,0,320,0
石 00,4,320,-40,320,0
石 00,4,320,0,320,0
石 00,4,-320,-40,-320,0
石 00,4,-320,0,-320,0
石 00,4,-280,-40,-320,0
石 00,4,-280,0,-320,0
石 00,4,-240,-40,-320,0
石 00,4,-240,0,-320,0
石 00,4,-200,-40,-320,0
石 00,4,-200,0,-320,0
石 00,4,-160,-40,-320,0
石 00,4,-160,0,-320,0
石 00,4,-120,-40,-320,0
石 00,4,-120,0,-320,0
石 00,4,-80,-40,-320,0
石 00,4,-80,0,-320,0
石 00,4,-40,-40,-320,0
石 00,4,-40,0,-320,0
石 00,4,0,-40,-320,0
石 00,4,0,0,-320,0
石 00,4,40,-40,-320,0
石 00,4,40,0,-320,0
石 00,4,80,-40,-320,0
石 00,4,80,0,-320,0
石 00,4,120,-40,-320,0
石 00,4,120,0,-320,0
石 00,4,160,-40,-320,0
石 00,4,160,0,-320,0
石 00,4,200,-40,-320,0
石 00,4,200,0,-320,0
石 00,4,240,-40,-320,0
石 00,4,240,0,-320,0
石 00,4,280,-40,-320,0
石 00,4,280,0,-320,0
石 00,4,320,-40,-320,0
石 00,4,320,0,-320,0
石 00,4,120,0,120,0
石 00,4,120,0,-120,0
石 00,4,-120,0,-120,0
石 00,4,-120,0,120,0
柵・横,9,-80,0,120,2
柵・横,9,-40,0,120,2
柵・横,9,0,0,120,2
柵・横,9,40,0,120,2
柵・横,9,80,0,120,2
柵・縦,10,120,0,80,2
柵・縦,10,120,0,40,2
柵・縦,10,120,0,0,2
柵・縦,10,120,0,-40,2
柵・縦,10,120,0,-80,2
木箱,7,-120,0,280,1
木箱,7,-120,0,240,1
木箱,7,-120,0,160,1
爆弾,8,-120,0,200,1
爆弾,8,200,0,-120,1
木箱,7,160,0,-120,1
木箱,7,240,0,-120,1
